# binIndex	binCenter	count
0	0.0239981	0.506594
1	0.0719943	0.506144
2	0.119991	0.506665
3	0.167987	0.506742
4	0.215983	0.506881
5	0.263979	0.506501
6	0.311975	0.50633
7	0.359971	0.507149
8	0.407968	0.506666
9	0.455964	0.507349
10	0.50396	0.506721
11	0.551956	0.50669
12	0.599952	0.506079
13	0.647949	0.506475
14	0.695945	0.506936
15	0.743941	0.506667
16	0.791937	0.5066
17	0.839933	0.50725
18	0.88793	0.506797
19	0.935926	0.506999
20	0.983922	0.506834
21	1.03192	0.506945
22	1.07991	0.506852
23	1.12791	0.507574
24	1.17591	0.506989
25	1.2239	0.506597
26	1.2719	0.506682
27	1.3199	0.506975
28	1.36789	0.506538
29	1.41589	0.507186
30	1.46388	0.506878
31	1.51188	0.506889
32	1.55988	0.506782
33	1.60787	0.498667
34	1.65587	0.464203
35	1.70386	0.42825
36	1.75186	0.393741
37	1.79986	0.359702
38	1.84785	0.327252
39	1.89585	0.295014
40	1.94385	0.263765
41	1.99184	0.233032
42	2.03984	0.203188
43	2.08783	0.174161
44	2.13583	0.145715
45	2.18383	0.118141
46	2.23182	0.0909906
47	2.27982	0.064177
48	2.32782	0.0382895
49	2.37581	0.0127379
