# binIndex	binCenter	count
0	-1.86158	0.00574712
1	-1.78559	0.0172819
2	-1.7096	0.0293145
3	-1.63361	0.0421118
4	-1.55762	0.0551209
5	-1.48163	0.0692825
6	-1.40564	0.0839428
7	-1.32965	0.0991478
8	-1.25366	0.115686
9	-1.17767	0.1329
10	-1.10169	0.151514
11	-1.0257	0.171375
12	-0.949706	0.192647
13	-0.873717	0.215883
14	-0.797728	0.241113
15	-0.721738	0.268986
16	-0.645749	0.300117
17	-0.569759	0.334681
18	-0.49377	0.374866
19	-0.417781	0.421199
20	-0.341791	0.477032
21	-0.265802	0.547066
22	-0.189813	0.641946
23	-0.113823	0.776022
24	-0.0378338	0.817739
25	0.0381555	0.817422
26	0.114145	0.775291
27	0.190134	0.641195
28	0.266124	0.546862
29	0.342113	0.476656
30	0.418102	0.420904
31	0.494092	0.374526
32	0.570081	0.334171
33	0.646071	0.300189
34	0.72206	0.269205
35	0.798049	0.240633
36	0.874039	0.215794
37	0.950028	0.192582
38	1.02602	0.171542
39	1.10201	0.151247
40	1.178	0.132608
41	1.25399	0.115532
42	1.32997	0.0988761
43	1.40596	0.0835329
44	1.48195	0.0690561
45	1.55794	0.0551172
46	1.63393	0.0417804
47	1.70992	0.0293479
48	1.78591	0.0172274
49	1.8619	0.00571948
