# binIndex	binCenter	count
0	0.118	0.555815
1	0.154	0.555521
2	0.19	0.55542
3	0.226	0.555799
4	0.262	0.555778
5	0.298	0.555144
6	0.334	0.55544
7	0.37	0.555563
8	0.406	0.5562
9	0.442	0.555773
10	0.478	0.555274
11	0.514	0.555233
12	0.55	0.555511
13	0.586	0.556113
14	0.622	0.555765
15	0.658	0.554702
16	0.694	0.555948
17	0.73	0.555615
18	0.766	0.555466
19	0.802	0.554406
20	0.838	0.555206
21	0.874	0.555413
22	0.91	0.555514
23	0.946	0.554837
24	0.982	0.555956
25	1.018	0.555456
26	1.054	0.555752
27	1.09	0.555502
28	1.126	0.555638
29	1.162	0.555808
30	1.198	0.556157
31	1.234	0.555338
32	1.27	0.555717
33	1.306	0.55619
34	1.342	0.555949
35	1.378	0.55543
36	1.414	0.555652
37	1.45	0.555873
38	1.486	0.556574
39	1.522	0.555255
40	1.558	0.555529
41	1.594	0.555862
42	1.63	0.555684
43	1.666	0.555727
44	1.702	0.554409
45	1.738	0.555128
46	1.774	0.555152
47	1.81	0.555786
48	1.846	0.554815
49	1.882	0.555983
