# binIndex	binCenter	count
0	0.0361	2.33252
1	0.1083	1.19812
2	0.1805	0.884442
3	0.2527	0.722372
4	0.3249	0.618253
5	0.3971	0.543779
6	0.4693	0.487861
7	0.5415	0.443368
8	0.613699	0.406578
9	0.685899	0.375607
10	0.758099	0.349111
11	0.830299	0.326267
12	0.902499	0.306529
13	0.974699	0.288327
14	1.0469	0.271955
15	1.1191	0.257573
16	1.1913	0.24427
17	1.2635	0.23164
18	1.3357	0.220484
19	1.4079	0.209833
20	1.4801	0.20036
21	1.5523	0.190754
22	1.6245	0.182265
23	1.6967	0.173792
24	1.7689	0.166337
25	1.8411	0.158688
26	1.9133	0.151888
27	1.9855	0.145134
28	2.0577	0.138566
29	2.1299	0.132318
30	2.2021	0.126169
31	2.2743	0.120261
32	2.3465	0.114836
33	2.4187	0.109356
34	2.4909	0.10379
35	2.5631	0.0983749
36	2.6353	0.0933027
37	2.7075	0.0884472
38	2.7797	0.0832904
39	2.8519	0.0782053
40	2.9241	0.0731778
41	2.9963	0.068306
42	3.0685	0.0630711
43	3.1407	0.0576861
44	3.2129	0.0524628
45	3.2851	0.0467053
46	3.3573	0.0404934
47	3.4295	0.0337823
48	3.5017	0.0257846
49	3.5739	0.0139374
