# binIndex	binCenter	count
0	0.0379979	0.817561
1	0.113994	0.817609
2	0.18999	0.811014
3	0.265985	0.740263
4	0.341981	0.669511
5	0.417977	0.613586
6	0.493973	0.56676
7	0.569969	0.527096
8	0.645964	0.492271
9	0.72196	0.4614
10	0.797956	0.433509
11	0.873952	0.408548
12	0.949948	0.385589
13	1.02594	0.36373
14	1.10194	0.343731
15	1.17793	0.325089
16	1.25393	0.308525
17	1.32993	0.291718
18	1.40592	0.276204
19	1.48192	0.26195
20	1.55791	0.247397
21	1.63391	0.234307
22	1.70991	0.22198
23	1.7859	0.209642
24	1.8619	0.198175
25	1.93789	0.186995
26	2.01389	0.176555
27	2.08988	0.166331
28	2.16588	0.156093
29	2.24188	0.146629
30	2.31787	0.137075
31	2.39387	0.128369
32	2.46986	0.119802
33	2.54586	0.111364
34	2.62186	0.102979
35	2.69785	0.0950074
36	2.77385	0.0873489
37	2.84984	0.0800782
38	2.92584	0.0727886
39	3.00183	0.0654999
40	3.07783	0.0585181
41	3.15383	0.0516805
42	3.22982	0.0452133
43	3.30582	0.0386317
44	3.38181	0.0324214
45	3.45781	0.026193
46	3.5338	0.0201841
47	3.6098	0.0142761
48	3.6858	0.0085835
49	3.76179	0.00283818
