# binIndex	binCenter	count
0	0.51	0.999561
1	0.53	0.999934
2	0.55	0.999762
3	0.57	1.00142
4	0.59	0.999219
5	0.61	1.00044
6	0.63	1.00058
7	0.65	1.002
8	0.67	1.00022
9	0.69	0.999423
10	0.71	0.999551
11	0.73	1.00189
12	0.75	0.999893
13	0.77	0.999653
14	0.79	1.00044
15	0.81	1.00058
16	0.83	1.00106
17	0.85	1.00138
18	0.87	0.999806
19	0.89	0.999071
20	0.91	1.00083
21	0.93	0.999515
22	0.95	0.999893
23	0.97	0.999796
24	0.99	0.999949
25	1.01	0.998677
26	1.03	0.999205
27	1.05	1.00028
28	1.07	0.99987
29	1.09	1.00024
30	1.11	1.00079
31	1.13	0.99953
32	1.15	0.999308
33	1.17	1.00036
34	1.19	0.9999
35	1.21	0.999379
36	1.23	1.00042
37	1.25	1.00073
38	1.27	0.998283
39	1.29	1.00036
40	1.31	0.999279
41	1.33	0.999016
42	1.35	0.999594
43	1.37	0.999349
44	1.39	0.999715
45	1.41	1.00019
46	1.43	1.00024
47	1.45	0.999768
48	1.47	1.00028
49	1.49	0.999393
