# binIndex	binCenter	count
0	-1.17587	0.0255483
1	-1.12787	0.0776676
2	-1.07988	0.131934
3	-1.03188	0.188783
4	-0.983886	0.248315
5	-0.935891	0.310944
6	-0.887895	0.376779
7	-0.8399	0.446407
8	-0.791904	0.502903
9	-0.743909	0.506735
10	-0.695914	0.507114
11	-0.647918	0.506573
12	-0.599923	0.507083
13	-0.551927	0.50702
14	-0.503932	0.507014
15	-0.455937	0.50692
16	-0.407941	0.506882
17	-0.359946	0.507001
18	-0.31195	0.506441
19	-0.263955	0.50625
20	-0.21596	0.507118
21	-0.167964	0.506901
22	-0.119969	0.506847
23	-0.0719734	0.506761
24	-0.023978	0.506086
25	0.0240174	0.506652
26	0.0720128	0.506645
27	0.120008	0.506519
28	0.168004	0.506587
29	0.215999	0.506915
30	0.263994	0.507145
31	0.31199	0.506125
32	0.359985	0.506602
33	0.407981	0.506961
34	0.455976	0.506887
35	0.503971	0.50676
36	0.551967	0.507411
37	0.599962	0.506498
38	0.647958	0.507073
39	0.695953	0.506604
40	0.743948	0.507033
41	0.791944	0.50258
42	0.839939	0.446069
43	0.887935	0.376721
44	0.93593	0.311363
45	0.983926	0.248511
46	1.03192	0.188607
47	1.07992	0.131979
48	1.12791	0.0775276
49	1.17591	0.0255249
