# binIndex	binCenter	count
0	0.0144	0.525425
1	0.0431999	0.533723
2	0.0719999	0.543188
3	0.1008	0.552487
4	0.1296	0.562925
5	0.1584	0.573891
6	0.1872	0.585537
7	0.216	0.597471
8	0.2448	0.610758
9	0.2736	0.625582
10	0.3024	0.641151
11	0.3312	0.657831
12	0.359999	0.676205
13	0.388799	0.697108
14	0.417599	0.718817
15	0.446399	0.743998
16	0.475199	0.77406
17	0.503999	0.808579
18	0.532799	0.848852
19	0.561599	0.898941
20	0.590399	0.967254
21	0.619199	1.07696
22	0.647999	1.27328
23	0.676799	1.23912
24	0.705599	1.18385
25	0.734399	1.13153
26	0.763199	1.08128
27	0.791999	1.03312
28	0.820799	0.986054
29	0.849599	0.9429
30	0.878399	0.899862
31	0.907199	0.858903
32	0.935999	0.816987
33	0.964799	0.778811
34	0.993599	0.740601
35	1.0224	0.702756
36	1.0512	0.666562
37	1.08	0.629807
38	1.1088	0.593829
39	1.1376	0.557688
40	1.1664	0.521804
41	1.1952	0.485068
42	1.224	0.448957
43	1.2528	0.411547
44	1.2816	0.372645
45	1.3104	0.332908
46	1.3392	0.289154
47	1.368	0.240466
48	1.3968	0.182907
49	1.4256	0.0991272
